mon,tue,wed,thur,fri,monl,tuel,wedl,thurl,fril
https://teams.microsoft.com/l/meetup-join/19%3auxuZUl2oGfmQI963KEy4_2Fe0kQEUQVM2hiopkescnY1%40thread.tacv2/1650957574153?context=%7b%22Tid%22%3a%22783ff96b-fe13-406b-b48d-45dc1853cbad%22%2c%22Oid%22%3a%2249098ebe-048e-470c-a638-18745cc670fb%22%7d,https://teams.microsoft.com/l/meetup-join/19%3auxuZUl2oGfmQI963KEy4_2Fe0kQEUQVM2hiopkescnY1%40thread.tacv2/1650957574153?context=%7b%22Tid%22%3a%22783ff96b-fe13-406b-b48d-45dc1853cbad%22%2c%22Oid%22%3a%2249098ebe-048e-470c-a638-18745cc670fb%22%7d,No Online Class,No Online Class,No Online Class,Comm.S.(PN),Comm.S.(PN),No Online Class,No Online Class,No Online Class
https://teams.microsoft.com/l/meetup-join/19%3ahiQ-z2HKM4-yhxnozeFM6_-nvQV_lk6lffEkw1uf3bk1%40thread.tacv2/1647235681519?context=%7b%22Tid%22%3a%22783ff96b-fe13-406b-b48d-45dc1853cbad%22%2c%22Oid%22%3a%2288f11e0f-1ef9-4803-955e-5c776a9ee880%22%7d,https://teams.microsoft.com/l/meetup-join/19%3ahiQ-z2HKM4-yhxnozeFM6_-nvQV_lk6lffEkw1uf3bk1%40thread.tacv2/1649144366957?context=%7b%22Tid%22%3a%22783ff96b-fe13-406b-b48d-45dc1853cbad%22%2c%22Oid%22%3a%22966b16ce-8eba-4c74-91b0-8657c0dc5667%22%7d,No Online Class,No Online Class,No Online Class,PPL(SSM)1,CSO(DK),No Online Class,No Online Class,No Online Class
https://teams.microsoft.com/l/meetup-join/19%3ahiQ-z2HKM4-yhxnozeFM6_-nvQV_lk6lffEkw1uf3bk1%40thread.tacv2/1647846546065?context=%7b%22Tid%22%3a%22783ff96b-fe13-406b-b48d-45dc1853cbad%22%2c%22Oid%22%3a%22966b16ce-8eba-4c74-91b0-8657c0dc5667%22%7d,No Online Class,No Online Class,No Online Class,No Online Class,CSO(DK),No Online Class,No Online Class,No Online Class,No Online Class
https://teams.microsoft.com/l/meetup-join/19%3ahiQ-z2HKM4-yhxnozeFM6_-nvQV_lk6lffEkw1uf3bk1%40thread.tacv2/1647235773890?context=%7b%22Tid%22%3a%22783ff96b-fe13-406b-b48d-45dc1853cbad%22%2c%22Oid%22%3a%2288f11e0f-1ef9-4803-955e-5c776a9ee880%22%7d,No Online Class,No Online Class,No Online Class,No Online Class,PPL(SSM)2,No Online Class,No Online Class,No Online Class,No Online Class
